1, 0 -24.15254237 -17.79661017 -30.00107726;
2, -1.271186441 -22.88135593 -17.84195192 -28.98751081;
3, -2.542372881 -21.61016949 -17.97729105 -27.99497739;
4, -3.813559322 -20.33898305 -18.20062 -27.02579444;
5, -5.084745763 -19.06779661 -18.50875396 -26.08256508;
6, -6.355932203 -17.79661017 -18.89754502 -25.16820747;
7, -7.627118644 -16.52542373 -19.36213501 -24.28598285;
8, -8.898305085 -15.25423729 -19.89721505 -23.43951981;
9, -10.16949153 -13.98305085 -20.49726546 -22.63283112;
10, -11.44067797 -12.71186441 -21.15675887 -21.87031848;
11, -12.71186441 -11.44067797 -21.87031848 -21.15675887;
12, -13.98305085 -10.16949153 -22.63283112 -20.49726546;
13, -15.25423729 -8.898305085 -23.43951981 -19.89721505;
14, -16.52542373 -7.627118644 -24.28598285 -19.36213501;
15, -17.79661017 -6.355932203 -25.16820747 -18.89754502;
16, -19.06779661 -5.084745763 -26.08256508 -18.50875396;
17, -20.33898305 -3.813559322 -27.02579444 -18.20062;
18, -21.61016949 -2.542372881 -27.99497739 -17.97729105;
19, -22.88135593 -1.271186441 -28.98751081 -17.84195192;
20, -24.15254237 0 -30.00107726 -17.79661017;
21, -1.271186441 -24.18597151 -16.52542373 -29.26490958;
22, -1.797729105 -22.91663946 -16.5742434 -28.22491946;
23, -2.842459293 -21.64752504 -16.71984717 -27.20457783;
24, -4.019844483 -20.37866891 -16.95974245 -26.20617982;
25, -5.241235965 -19.11012251 -17.29000488 -25.23233039;
26, -6.481804466 -17.84195192 -17.70557832 -24.28598285;
27, -7.73232525 -16.5742434 -18.20062 -23.37047836;
28, -8.988645524 -15.30711175 -18.76884287 -22.48958391;
29, -10.24863273 -14.04071316 -19.40381888 -21.64752504;
30, -11.5110828 -12.77526562 -20.09922242 -20.8490078;
31, -12.77526562 -11.5110828 -20.8490078 -20.09922242;
32, -14.04071316 -10.24863273 -21.64752504 -19.40381888;
33, -15.30711175 -8.988645524 -22.48958391 -18.76884287;
34, -16.5742434 -7.73232525 -23.37047836 -18.20062;
35, -17.84195192 -6.481804466 -24.28598285 -17.70557832;
36, -19.11012251 -5.241235965 -25.23233039 -17.29000488;
37, -20.37866891 -4.019844483 -26.20617982 -16.95974245;
38, -21.64752504 -2.842459293 -27.20457783 -16.71984717;
39, -22.91663946 -1.797729105 -28.22491946 -16.5742434;
40, -24.18597151 -1.271186441 -29.26490958 -16.52542373;
41, -2.542372881 -24.28598285 -15.25423729 -28.56636236;
42, -2.842459293 -23.02216561 -15.30711175 -27.49996736;
43, -3.595458209 -21.75920691 -15.4646505 -26.45167633;
44, -4.583327893 -20.49726546 -15.72370789 -25.42372881;
45, -5.684918587 -19.23654146 -16.07937793 -24.41869413;
46, -6.845548484 -17.97729105 -16.52542373 -23.43951981;
47, -8.039688967 -16.71984717 -17.05475576 -22.48958391;
48, -9.254376978 -15.4646505 -17.65988643 -21.57274926;
49, -10.48247193 -14.21229647 -18.33331157 -20.69341601;
50, -11.7197599 -12.96360893 -19.06779661 -19.85656697;
51, -12.96360893 -11.7197599 -19.85656697 -19.06779661;
52, -14.21229647 -10.48247193 -20.69341601 -18.33331157;
53, -15.4646505 -9.254376978 -21.57274926 -17.65988643;
54, -16.71984717 -8.039688967 -22.48958391 -17.05475576;
55, -17.97729105 -6.845548484 -23.43951981 -16.52542373;
56, -19.23654146 -5.684918587 -24.41869413 -16.07937793;
57, -20.49726546 -4.583327893 -25.42372881 -15.72370789;
58, -21.75920691 -3.595458209 -26.45167633 -15.4646505;
59, -23.02216561 -2.842459293 -27.49996736 -15.30711175;
60, -24.28598285 -2.542372881 -28.56636236 -15.25423729;
61, -3.813559322 -24.4517594 -13.98305085 -27.90826068;
62, -4.019844483 -23.19697575 -14.04071316 -26.81570734;
63, -4.583327893 -21.9440803 -14.21229647 -25.73956364;
64, -5.393187314 -20.69341601 -14.4937554 -24.68197607;
65, -6.355932203 -19.4454134 -14.87885582 -23.64543462;
66, -7.412226985 -18.20062 -15.3598042 -22.63283112;
67, -8.52737788 -16.95974245 -15.92792045 -21.64752504;
68, -9.681067507 -15.72370789 -16.5742434 -20.69341601;
69, -10.86102171 -14.4937554 -17.29000488 -19.77502015;
70, -12.05953345 -13.27157607 -18.0669539 -18.89754502;
71, -13.27157607 -12.05953345 -18.89754502 -18.0669539;
72, -14.4937554 -10.86102171 -19.77502015 -17.29000488;
73, -15.72370789 -9.681067507 -20.69341601 -16.5742434;
74, -16.95974245 -8.52737788 -21.64752504 -15.92792045;
75, -18.20062 -7.412226985 -22.63283112 -15.3598042;
76, -19.4454134 -6.355932203 -23.64543462 -14.87885582;
77, -20.69341601 -5.393187314 -24.68197607 -14.4937554;
78, -21.9440803 -4.583327893 -25.73956364 -14.21229647;
79, -23.19697575 -4.019844483 -26.81570734 -14.04071316;
80, -24.4517594 -3.813559322 -27.90826068 -13.98305085;
81, -5.084745763 -24.68197607 -12.71186441 -27.29353036;
82, -5.241235965 -23.43951981 -12.77526562 -26.17533087;
83, -5.684918587 -22.20031678 -12.96360893 -25.07171558;
84, -6.355932203 -20.96494386 -13.27157607 -23.98469779;
85, -7.190916419 -19.73412038 -13.69109697 -22.91663946;
86, -8.139564709 -18.50875396 -14.21229647 -21.87031848;
87, -9.166655785 -17.29000488 -14.82445397 -20.8490078;
88, -10.24863273 -16.07937793 -15.51680799 -19.85656697;
89, -11.36983717 -14.87885582 -16.27912942 -18.89754502;
90, -12.51973449 -13.69109697 -17.10206447 -17.97729105;
91, -13.69109697 -12.51973449 -17.97729105 -17.10206447;
92, -14.87885582 -11.36983717 -18.89754502 -16.27912942;
93, -16.07937793 -10.24863273 -19.85656697 -15.51680799;
94, -17.29000488 -9.166655785 -20.8490078 -14.82445397;
95, -18.50875396 -8.139564709 -21.87031848 -14.21229647;
96, -19.73412038 -7.190916419 -22.91663946 -13.69109697;
97, -20.96494386 -6.355932203 -23.98469779 -13.27157607;
98, -22.20031678 -5.684918587 -25.07171558 -12.96360893;
99, -23.43951981 -5.241235965 -26.17533087 -12.77526562;
100, -24.68197607 -5.084745763 -27.29353036 -12.71186441;
101, -6.355932203 -24.9748509 -11.44067797 -26.72516446;
102, -6.481804466 -23.74772249 -11.5110828 -25.58213364;
103, -6.845548484 -22.52548112 -11.7197599 -24.4517594;
104, -7.412226985 -21.30896773 -12.05953345 -23.33588104;
105, -8.139564709 -20.09922242 -12.51973449 -22.23668095;
106, -8.988645524 -18.89754502 -13.08766543 -21.15675887;
107, -9.928283486 -17.70557832 -13.74998368 -20.09922242;
108, -10.93515924 -16.52542373 -14.4937554 -19.06779661;
109, -11.9923489 -15.3598042 -15.30711175 -18.0669539;
110, -13.08766543 -14.21229647 -16.17956194 -17.10206447;
111, -14.21229647 -13.08766543 -17.10206447 -16.17956194;
112, -15.3598042 -11.9923489 -18.0669539 -15.30711175;
113, -16.52542373 -10.93515924 -19.06779661 -14.4937554;
114, -17.70557832 -9.928283486 -20.09922242 -13.74998368;
115, -18.89754502 -8.988645524 -21.15675887 -13.08766543;
116, -20.09922242 -8.139564709 -22.23668095 -12.51973449;
117, -21.30896773 -7.412226985 -23.33588104 -12.05953345;
118, -22.52548112 -6.845548484 -24.4517594 -11.7197599;
119, -23.74772249 -6.481804466 -25.58213364 -11.5110828;
120, -24.9748509 -6.355932203 -26.72516446 -11.44067797;
121, -7.627118644 -25.3282104 -10.16949153 -26.20617982;
122, -7.73232525 -24.1190669 -10.24863273 -25.03946899;
123, -8.039688967 -22.91663946 -10.48247193 -23.88342487;
124, -8.52737788 -21.72204342 -10.86102171 -22.73967435;
125, -9.166655785 -20.53664545 -11.36983717 -21.61016949;
126, -9.928283486 -19.36213501 -11.9923489 -20.49726546;
127, -10.78637463 -18.20062 -12.71186441 -19.40381888;
128, -11.7197599 -17.05475576 -13.51289722 -18.33331157;
129, -12.71186441 -15.92792045 -14.38183284 -17.29000488;
130, -13.74998368 -14.82445397 -15.30711175 -16.27912942;
131, -14.82445397 -13.74998368 -16.27912942 -15.30711175;
132, -15.92792045 -12.71186441 -17.29000488 -14.38183284;
133, -17.05475576 -11.7197599 -18.33331157 -13.51289722;
134, -18.20062 -10.78637463 -19.40381888 -12.71186441;
135, -19.36213501 -9.928283486 -20.49726546 -11.9923489;
136, -20.53664545 -9.166655785 -21.61016949 -11.36983717;
137, -21.72204342 -8.52737788 -22.73967435 -10.86102171;
138, -22.91663946 -8.039688967 -23.88342487 -10.48247193;
139, -24.1190669 -7.73232525 -25.03946899 -10.24863273;
140, -25.3282104 -7.627118644 -26.20617982 -10.16949153;
141, -8.898305085 -25.73956364 -8.898305085 -25.73956364;
142, -8.988645524 -24.55068803 -8.988645524 -24.55068803;
143, -9.254376978 -23.37047836 -9.254376978 -23.37047836;
144, -9.681067507 -22.20031678 -9.681067507 -22.20031678;
145, -10.24863273 -21.04187969 -10.24863273 -21.04187969;
146, -10.93515924 -19.89721505 -10.93515924 -19.89721505;
147, -11.7197599 -18.76884287 -11.7197599 -18.76884287;
148, -12.58410373 -17.65988643 -12.58410373 -17.65988643;
149, -13.51289722 -16.5742434 -13.51289722 -16.5742434;
150, -14.4937554 -15.51680799 -14.4937554 -15.51680799;
151, -15.51680799 -14.4937554 -15.51680799 -14.4937554;
152, -16.5742434 -13.51289722 -16.5742434 -13.51289722;
153, -17.65988643 -12.58410373 -17.65988643 -12.58410373;
154, -18.76884287 -11.7197599 -18.76884287 -11.7197599;
155, -19.89721505 -10.93515924 -19.89721505 -10.93515924;
156, -21.04187969 -10.24863273 -21.04187969 -10.24863273;
157, -22.20031678 -9.681067507 -22.20031678 -9.681067507;
158, -23.37047836 -9.254376978 -23.37047836 -9.254376978;
159, -24.55068803 -8.988645524 -24.55068803 -8.988645524;
160, -25.73956364 -8.898305085 -25.73956364 -8.898305085;
161, -10.16949153 -26.20617982 -7.627118644 -25.3282104;
162, -10.24863273 -25.03946899 -7.73232525 -24.1190669;
163, -10.48247193 -23.88342487 -8.039688967 -22.91663946;
164, -10.86102171 -22.73967435 -8.52737788 -21.72204342;
165, -11.36983717 -21.61016949 -9.166655785 -20.53664545;
166, -11.9923489 -20.49726546 -9.928283486 -19.36213501;
167, -12.71186441 -19.40381888 -10.78637463 -18.20062;
168, -13.51289722 -18.33331157 -11.7197599 -17.05475576;
169, -14.38183284 -17.29000488 -12.71186441 -15.92792045;
170, -15.30711175 -16.27912942 -13.74998368 -14.82445397;
171, -16.27912942 -15.30711175 -14.82445397 -13.74998368;
172, -17.29000488 -14.38183284 -15.92792045 -12.71186441;
173, -18.33331157 -13.51289722 -17.05475576 -11.7197599;
174, -19.40381888 -12.71186441 -18.20062 -10.78637463;
175, -20.49726546 -11.9923489 -19.36213501 -9.928283486;
176, -21.61016949 -11.36983717 -20.53664545 -9.166655785;
177, -22.73967435 -10.86102171 -21.72204342 -8.52737788;
178, -23.88342487 -10.48247193 -22.91663946 -8.039688967;
179, -25.03946899 -10.24863273 -24.1190669 -7.73232525;
180, -26.20617982 -10.16949153 -25.3282104 -7.627118644;
181, -11.44067797 -26.72516446 -6.355932203 -24.9748509;
182, -11.5110828 -25.58213364 -6.481804466 -23.74772249;
183, -11.7197599 -24.4517594 -6.845548484 -22.52548112;
184, -12.05953345 -23.33588104 -7.412226985 -21.30896773;
185, -12.51973449 -22.23668095 -8.139564709 -20.09922242;
186, -13.08766543 -21.15675887 -8.988645524 -18.89754502;
187, -13.74998368 -20.09922242 -9.928283486 -17.70557832;
188, -14.4937554 -19.06779661 -10.93515924 -16.52542373;
189, -15.30711175 -18.0669539 -11.9923489 -15.3598042;
190, -16.17956194 -17.10206447 -13.08766543 -14.21229647;
191, -17.10206447 -16.17956194 -14.21229647 -13.08766543;
192, -18.0669539 -15.30711175 -15.3598042 -11.9923489;
193, -19.06779661 -14.4937554 -16.52542373 -10.93515924;
194, -20.09922242 -13.74998368 -17.70557832 -9.928283486;
195, -21.15675887 -13.08766543 -18.89754502 -8.988645524;
196, -22.23668095 -12.51973449 -20.09922242 -8.139564709;
197, -23.33588104 -12.05953345 -21.30896773 -7.412226985;
198, -24.4517594 -11.7197599 -22.52548112 -6.845548484;
199, -25.58213364 -11.5110828 -23.74772249 -6.481804466;
